Date,BUY,SPY,TQQQ,SPXL,UVXY,SQQQ,TLT,QQQ,SPY_MA200,TQQQ_RSI10,SPXL_RSI10,SPY_RSI10,QQQ_RSI10,UVXY_RSI10,TQQQ_MA20,SQQQ_RSI10,TLT_RSI10,QQQ_5dgain,TQQQ_1dgain,TQQQ_10dSTDreturn
2019-12-26,,309.2687683105469,22.0175,66.42992,126.4,548.68408,130.99474,210.51556396484375,280.6629920959473,86.16817017073352,84.25648810373283,84.32848347091851,85.68731396926927,30.675393605819735,19.9579445,15.218698560852772,46.26044188338913,2.2445658561862203,2.5978564771668156,1.0551783145955274
2019-12-27,,309.1920471191406,21.9525,66.39012,130.3,550.67834,131.13797,210.3383331298828,280.88768463134767,83.90477144279842,83.64187822915261,83.62001231023035,83.90974370064424,37.03003822816679,20.071050500000002,17.448488009057215,47.49283021198586,1.5238221774891647,-0.29521971159304217,1.1045562443871375
2019-12-30,,307.4874572753906,21.515,65.22626,137.39999,561.39777,130.66049,208.95977783203125,281.0973260498047,70.12851997601177,67.61603048625405,69.25623090203791,71.15284973422109,46.87957904226871,20.175402,28.65509508871229,43.77445732042368,0.4534876266141019,-1.992939300763008,1.4680814379255267
2019-12-31,,308.23443603515625,21.6375,65.73358,128.89999,558.15704,129.38083,209.3536376953125,281.30588806152343,71.58023193386377,70.36599052572214,71.62911885496621,72.48097960963396,38.80547659822452,20.317117,27.405372912070888,35.498290615724834,0.3777058512252962,0.5693702068324313,1.2684709330013575
2020-01-02,,311.1170349121094,22.71,67.55399,121.3,530.98456,130.84189,212.8492889404297,281.5285327148438,80.70307957639135,77.86134598298133,78.68362876158913,81.07392494906007,33.13578538630202,20.533574499999997,19.487459254423896,47.976191888475796,2.0007569645196233,4.956672443674193,1.8724764375075051
2020-01-03,,308.76116943359375,22.0925,65.93253,130.10001,545.19403,132.85693,210.89959716796875,281.74341018676756,66.95373875066983,62.273112314946026,64.18978133325597,67.92896089876695,43.71568209335147,20.705537,31.060540727721694,59.87193654825866,0.1824250881465206,-2.7190664905328066,2.2116140343682673
2020-01-06,,309.9391174316406,22.5125,66.69849,128.2,534.72388,132.10255,212.25843811035156,281.94916748046876,70.72324546091025,65.860583607027,67.51427138173803,71.50649831292036,42.11695315120711,20.893626,27.79008773556308,54.67177699210428,0.9128649789589716,1.9010976575760896,2.2029905997870634
2020-01-07,,309.0676574707031,22.485,66.19116,127.3,534.97321,131.45308,212.22891235351562,282.1764335632324,70.14117425615021,61.55304719530807,62.72737539189942,71.31443760727649,41.3216021298107,21.0513505,27.990704206739153,50.47785208418996,1.564480281995806,-0.12215435868961899,2.2101725267459114
2020-01-08,,310.7148132324219,23.0025,67.20582,123.7,523.00732,130.58411,213.82408142089844,282.4129263305664,74.52508606951936,66.43189915008524,67.55807221032832,75.29734187814175,38.122006258787074,21.246820500000002,24.3789895579253,45.31059142475928,2.1353551697497197,2.3015343562375,2.27715456671994
2020-01-09,,312.82171630859375,23.5825,68.56864,116.8,509.79504,131.04251,215.63592529296875,282.65013610839844,78.4628712433483,71.77677686830417,72.60432683516865,78.98057259010926,32.72554627210968,21.473415,21.047156125478846,48.40625577404154,1.3092063245365049,2.5214650581458553,2.3317308022533134
2020-01-10,,311.92144775390625,23.39,67.92205,115.9,514.03296,132.20757,215.08448791503906,282.88978271484376,74.23143887575574,66.21852194983347,67.61126886885116,75.18938987516252,32.06765915647612,21.6760145,24.714176004733435,55.51687046903192,1.98430476078022,-0.816283260892603,2.317102710193852
2020-01-13,,314.066650390625,24.2075,69.39429,111.3,496.08417,131.80643,217.56590270996094,283.13515243530276,79.45861801634054,71.75254489629557,72.60017784706162,79.9914778086797,28.78175724530524,21.897372,20.28133681496847,52.73635462193456,2.5004728419089073,3.495083368961094,2.45477590387641
2020-01-14,,313.5878601074219,23.925,69.01627,110.3,502.06711,132.48451,216.70924377441406,283.3697735595703,73.71701529069314,68.54881485235957,69.92899611340165,74.4630747107985,28.08659514117679,22.095733000000003,25.24725916094412,56.800092357210374,2.1110843811117608,-1.1669937002994901,2.3543723744422373
2020-01-15,,314.29644775390625,23.94,69.50372,109.7,501.81781,133.36305,216.7978515625,283.59212539672853,73.82858585238452,70.43984355433815,71.64456367240552,74.66431276399098,27.641513840570642,22.266229000000003,25.174653823948333,61.55825853435923,1.3907554854627913,0.06269592476488839,2.372255141090123
2020-01-16,,316.9109191894531,24.6075,71.13512,105.8,487.60837,132.94292,218.8755340576172,283.82688858032225,78.36877160505553,75.84141853606265,77.01943844962555,78.97990952317781,24.802857491401372,22.468725499999998,21.296124652384123,58.154788637256075,1.502351132005031,2.7882205513784397,2.0521040036782847
2020-01-17,,317.8973388671875,24.975,71.87123,106.2,480.1297,131.80643,219.9586944580078,284.06446029663084,80.4441042126408,77.86889802960785,78.71112553436228,80.86767089790116,25.67272296414199,22.687223,19.535997493997062,49.86782504563805,2.266182275726969,1.4934471197805443,1.6335296655047724
2020-01-21,,317.2748107910156,24.9625,71.35397,107.4,481.12686,133.19122,219.8602294921875,284.2953317260742,80.15347514846404,73.08029329629281,74.84753067072235,80.14070817537834,28.432324708890402,22.884103,20.509321947699156,57.97537426837791,1.0545433607237475,-0.050050050050065575,1.6628266126200921
2020-01-22,,317.3131408691406,25.1325,71.46339,108.3,477.38754,133.65913,220.44117736816406,284.5198341369629,81.1808775814011,73.46384878381392,74.93171250337063,81.24592089467528,30.580157967778813,23.0769875,19.525226209548503,60.3809185118159,1.722092481497839,0.6810215322984536,1.6186929701689161
2020-01-23,,317.6770935058594,25.365,71.65238,107.6,472.90033,134.59502,221.15013122558594,284.74511795043946,82.55333847746242,74.17013323894736,75.7866897764719,82.56181710786824,29.807092473931053,23.273625,18.351164486282055,64.85215981301874,2.0075289638334937,0.9250969859743385,1.5657560673428923
2020-01-24,,314.8518981933594,24.7075,69.68277,117.2,485.11548,135.68369,219.2891082763672,284.96326141357423,67.16263044105175,56.69608004382583,58.56029924823565,68.53579288923099,49.32719820645675,23.436,30.91588796639765,69.32638291853328,0.18895406493497635,-2.592154543662528,1.8248389084258865
2020-01-27,,309.8050537109375,23.18,66.35032,135.5,515.03009,137.79417,214.7595672607422,285.15154510498047,45.341990177937234,39.293151166458244,40.354138691768625,46.96079572379622,68.1105559170493,23.494125000000004,51.3060268350341,75.92708523883284,-2.3636834225064907,-6.18233329960538,2.785254288189547
